Market Code,Supplier,Supplier Depot,Price List ID, Price List Name,SKU,PID,Category,Sub Category,Tertiary Category,Description,Comments,Brand,Brand Type,Pack Description,No. Packs in a Case,No. Units in a Single Pack,Unit Size,Unit Measure,Unit Name,Tax Rate,Price,Units per Case, Converted To,Unit Price, Purchaser Units Attached
"Dairy","Lynas Foodservice Ltd",,"58976","Greyhound Racing Ireland Group Price List","",760436,"Food","Ambient & Chilled: Dessert Sundries & Pie Fillings","Milk Products","Nestle Milk : Condensed : Carnation",,"Nestle",,"12x397g",12.0000,1,"397.000","g",,0%,"25.16","4.7640000","kg","5.2813","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Lynas Foodservice Ltd",,"58976","Greyhound Racing Ireland Group Price List","KMMD20",747728,"Non Food","Chemicals","Cleaning Chemicals","Machine Dishwasher : 308",,,,"1x20ltr",1.0000,1,"20.000","ltr",,0%,,,"20.0000000","ltr","0","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Lynas Foodservice Ltd",,"58976","Greyhound Racing Ireland Group Price List","T195",742016,"Food","Meat & Poultry","Beef (Chilled)","Beef : 2.5kg : Mince : Steak",,,,"Kg",1.0000,1,"1.000","kg",,0%,"7.04","1.0000000","kg","7.04","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Lynas Foodservice Ltd",,"58976","Greyhound Racing Ireland Group Price List","RC154",736660,"Food","Vegetable Fresh: Salad","Lettuce","Lettuce : Mixed Leaves : Catering",,,,"1x500g",1.0000,1,"500.000","g",,0%,"3.05","0.5000000","kg","6.1","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Lynas Foodservice Ltd",,"58976","Greyhound Racing Ireland Group Price List","3437",733026,"Food","Frozen: Meat & Poultry","Duck (Frozen)","Duck : Shredded",,,,"10x1kg",10.0000,1,"1.000","kg",,0%,,,"10.0000000","kg","0","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Lynas Foodservice Ltd",,"58976","Greyhound Racing Ireland Group Price List","",728387,"Food","Ambient & Chilled: Table Sauce & Condiments","OTHER Sauces","Sauce : Worcestershire",,,,"6x290ml",6.0000,1,"290.000","ml",,0%,"40.08","1.7400000","ltr","23.0345","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Lynas Foodservice Ltd",,"58976","Greyhound Racing Ireland Group Price List","S6097",728385,"Food","Ambient & Chilled: Cooking Ingredients","Bouillon","CS (Chef Selection) Bouillon : Vegetable : Paste",,"CS (Chef Selection)",,"2x1kg",2.0000,1,"1.000","kg",,0%,"18.60","2.0000000","kg","9.3","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Lynas Foodservice Ltd",,"58976","Greyhound Racing Ireland Group Price List","4374",719926,"Food","Frozen: Desserts","Individual Desserts (Frozen)","Chocolate Fondant",,,,"27x90g",27.0000,1,"90.000","g",,0%,"34.20","2.4300000","kg","14.0741","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Lynas Foodservice Ltd",,"58976","Greyhound Racing Ireland Group Price List","",713743,"Food","Ambient & Chilled: Dried Pasta & Noodles","Linguine","Linguine",,,,"24x500g",24.0000,1,"500.000","g",,0%,"33.20","12.0000000","kg","2.7667","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Lynas Foodservice Ltd",,"58976","Greyhound Racing Ireland Group Price List","1323",705548,"Food","Frozen: Bakery","Tray Bakes (Frozen)","Paganini Traybake : Choc Brownie : 21 Portions",,"Paganini",,"1x1each",1.0000,1,"1.000","each",,0%,"20.25","1.0000000","each","20.25","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Lynas Foodservice Ltd",,"58976","Greyhound Racing Ireland Group Price List","1919",703287,"Food","Frozen: Fish & Seafood","Prepared Fish (Frozen)","Cod : 140-170g : Fillets : IQF",,,,"1x3.1kg",1.0000,1,"3.100","kg",,0%,"49.45","3.1000000","kg","15.9516","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Lynas Foodservice Ltd",,"58976","Greyhound Racing Ireland Group Price List","S1527",686129,"Non Food","Paper & Consumables","Janitorial","Mini Jumbo Toilet Rolls",,,,"1x12each",1.0000,1,"12.000","each",,23%,,,"12.0000000","each","0","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Lynas Foodservice Ltd",,"58976","Greyhound Racing Ireland Group Price List","DNF003",677190,"Food","Ambient & Chilled: Table Sauce & Condiments","Mayonnaise","Derrynaflan Mayonnaise : Real : 69%",,"Derrynaflan",,"1x10ltr",1.0000,1,"10.000","ltr",,0%,"32.70","10.0000000","ltr","3.27","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Lynas Foodservice Ltd",,"58976","Greyhound Racing Ireland Group Price List","3237",676936,"[PW] PAC","Food","Meat & Poultry (Chilled)","Sliced Silverside Roast (thick)",,,,"4x1kg",4.0000,1,"1.000","kg",,0%,,,"4.0000000","kg","0","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Lynas Foodservice Ltd",,"58976","Greyhound Racing Ireland Group Price List","S7212",676499,"Food","Hot Drinks","Chocolate & Cocoa Drinks","Cocoa Powder",,,,"10x500g",10.0000,1,"500.000","g",,0%,"77.40","5.0000000","kg","15.48","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Lynas Foodservice Ltd",,"58976","Greyhound Racing Ireland Group Price List","S8513",674768,"Food","Ambient & Chilled: Dessert Sundries & Pie Fillings","Sweet Shells & Pastry Cases","Tartlette Sablee : 11cm : VAT 0%",,,,"1x72each",1.0000,1,"72.000","each",,0%,"40.50","72.0000000","each","0.5625","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Lynas Foodservice Ltd",,"58976","Greyhound Racing Ireland Group Price List","S7188",672024,"Food","Ambient & Chilled: Rice","Arborio","Buchanan Rice : Arborio",,"Buchanan",,"6x2kg",6.0000,1,"2.000","kg",,0%,,,"12.0000000","kg","0","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Dry","Lynas Foodservice Ltd",,"58976","Greyhound Racing Ireland Group Price List","S8005",671487,"Food","Baking Ingredients","Flavouring","Kerrymaid Custard : Real Dairy",,"Kerrymaid",,"12x1ltr",12.0000,1,"1.000","ltr",,0%,"27.55","12.0000000","ltr","2.2958","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Lynas Foodservice Ltd",,"58976","Greyhound Racing Ireland Group Price List","S8517",671384,"Food","Ambient & Chilled: Dessert Sundries & Pie Fillings","Sweet Shells & Pastry Cases","Meringue : Nests",,,,"1x100each",1.0000,1,"100.000","each",,0%,"31.90","100.0000000","each","0.319","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Lynas Foodservice Ltd",,"58976","Greyhound Racing Ireland Group Price List","3239",668911,"Food","Meat & Poultry","Prepared Poultry","Turkey &amp; Ham : Portions",,,,"1x20each",1.0000,1,"20.000","each",,0%,,,"20.0000000","each","0","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Lynas Foodservice Ltd",,"58976","Greyhound Racing Ireland Group Price List","CRFSS",664760,"Non Food","Chemicals","Cleaning Chemicals","Food Safe Sanitiser",,,,"4 x 5 ltr",4.0000,1,"5.000","ltr",,0%,,,"20.0000000","ltr","0","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Lynas Foodservice Ltd",,"58976","Greyhound Racing Ireland Group Price List","",651037,"Food","Ambient & Chilled: Cooking Ingredients","Garlic","Garlic : Powder",,,,"6x500g",6.0000,1,"500.000","g",,0%,"27.23","3.0000000","kg","9.0767","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Lynas Foodservice Ltd",,"58976","Greyhound Racing Ireland Group Price List","",650401,"Food","Frozen: Bakery","Rolls & Buns (Frozen)","Seeded Buns : 4.5",,,,"4x12each",4.0000,1,"12.000","each",,0%,"10.03","48.0000000","each","0.209","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Lynas Foodservice Ltd",,"58976","Greyhound Racing Ireland Group Price List","S1786",647144,"Food","Snacks: Crisp & Snacks","Crisps","Tayto Crisps : Salt &amp; Vinegar",,"Tayto",,"32x37.5g",32.0000,1,"37.500","g",,23%,"23.16","1.20000000","kg","19.3","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Lynas Foodservice Ltd",,"58976","Greyhound Racing Ireland Group Price List","",645209,"Food","Ambient & Chilled: Cooking Ingredients","Spices","Star Anise",,,,"6x200g",6.0000,1,"200.000","g",,0%,"36.99","1.2000000","kg","30.825","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Lynas Foodservice Ltd",,"58976","Greyhound Racing Ireland Group Price List","5377",644432,"Food","Frozen: Desserts","Roulades & Pavlovas (Frozen)","White Chocolate &amp; Raspberry : Roulade",,,,"2x10each",2.0000,1,"10.000","each",,13.5%,"20.65","20.0000000","each","1.0325","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Lynas Foodservice Ltd",,"58976","Greyhound Racing Ireland Group Price List","S1522",628954,"Non Food","Paper & Consumables","Baking & Cooking","Tin Foil : 450mm x 75m : 0% Vat",,,,"6x1each",1.0000,6,"1.000","each",,0%,"47.40","6.0000000","each","7.9","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Lynas Foodservice Ltd",,"58976","Greyhound Racing Ireland Group Price List","",620785,"Food","Frozen: Desserts","Cakes & Slices (Frozen)","Sidoli Carrot Cake",,"Sidoli",,"1x15each",1.0000,1,"15.000","each",,0%,,,"15.0000000","each","0","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Lynas Foodservice Ltd",,"58976","Greyhound Racing Ireland Group Price List","S8065",615595,"Food","Baking Ingredients","Flour","Snowflake Flour : Plain",,"Snowflake",,"10x1.5kg",10.0000,1,"1.500","kg",,0%,"20.43","15.0000000","kg","1.362","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Lynas Foodservice Ltd",,"58976","Greyhound Racing Ireland Group Price List","S7104",592695,"Food","Baking Ingredients","Savoury Pastry Shells","Vol Au Vents : 8cm : VAT 0%",,,,"1x72each",1.0000,1,"72.000","each",,0%,"34.31","72.0000000","each","0.4765","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Lynas Foodservice Ltd",,"58976","Greyhound Racing Ireland Group Price List","S8021",592596,"Food","Baking Ingredients","Flour","Neills Flour : Plain",,"Neills",,"4x3kg",4.0000,1,"3.000","kg",,0%,"14.55","12.0000000","kg","1.2125","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Squash, Cordial & Fruit Juices","Lynas Foodservice Ltd",,"58976","Greyhound Racing Ireland Group Price List","IRS4029",590786,"Drinks","Soft Drinks","Minerals & Splits","Coca Cola Coca Cola : Contour",,"Coca Cola",,"24x500ml",24.0000,1,"500.000","ml",,23%,,,"12.0000000","ltr","0","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Lynas Foodservice Ltd",,"58976","Greyhound Racing Ireland Group Price List","IKNCHB2",588729,"Food","Ambient & Chilled: Cooking Ingredients","Bouillon","Knorr Bouillon : Chicken : Paste : Gluten Free",,"Knorr",,"2x80ltr",2.0000,1,"80.000","ltr",,0%,,,"160.0000000","ltr","0","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Lynas Foodservice Ltd",,"58976","Greyhound Racing Ireland Group Price List","S1749",583511,"Food","Snacks: Confectionery","Chocolate - Bars","Cadbury Dairy Milk : (0% Vat)",,"Cadbury",,"1x48each",1.0000,1,"48.000","each",,0%,"36.80","48.0000000","each","0.7667","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Lynas Foodservice Ltd",,"58976","Greyhound Racing Ireland Group Price List","S6096",582958,"Food","Ambient & Chilled: Cooking Ingredients","Bouillon","CK (Chefs Kitchen) Bouillon : Chicken : Paste",,"CK (Chefs Kitchen)",,"2x1kg",2.0000,1,"1.000","kg",,0%,"17.75","2.0000000","kg","8.875","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Lynas Foodservice Ltd",,"58976","Greyhound Racing Ireland Group Price List","S1782",581507,"Food","Snacks: Crisp & Snacks","Crisps","Tayto Crisps : Cheese &amp; Onion",,"Tayto",,"48x37.5g",48.0000,1,"37.500","g",,23%,"35.50","1.80000000","kg","19.7222","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Lynas Foodservice Ltd",,"58976","Greyhound Racing Ireland Group Price List","10990",578931,"Food","Frozen: Bakery","Rolls & Buns (Frozen)","Ciabatta : Bar Marked",,,,"40x120g",40.0000,1,"120.000","g",,0%,"19.00","4.8000000","kg","3.9583","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Lynas Foodservice Ltd",,"58976","Greyhound Racing Ireland Group Price List","4629",577789,"[PW] PAC","Food","Frozen - All","Jus Rol Puff Pastry Ovals (6x4)",,,,"96 x 60 g",96.0000,1,"60.000","g",,0%,,,"5.7600000","kg","0","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Lynas Foodservice Ltd",,"58976","Greyhound Racing Ireland Group Price List","3347",577530,"Food","Frozen: Buffet","Chicken Bites (Frozen)","Crown Chicken : Goujons : Breaded",,"Crown",,"5x1kg",5.0000,1,"1.000","kg",,0%,"42.25","5.0000000","kg","8.45","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Lynas Foodservice Ltd",,"58976","Greyhound Racing Ireland Group Price List","W617",571798,"[PW] PAC","Food","Meat & Poultry (Chilled)","Converter Gammon(Whl Jnt)",,,,"Kg",1.0000,1,"1.000","kg",,0%,,,"1.0000000","kg","0","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Lynas Foodservice Ltd",,"58976","Greyhound Racing Ireland Group Price List","T312",571721,"[PW] PAC","Food","Meat & Poultry (Chilled)","Gammon Slipper Joint",,,,"Kg",1.0000,1,"1.000","kg",,0%,,,"1.0000000","kg","0","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Lynas Foodservice Ltd",,"58976","Greyhound Racing Ireland Group Price List","4600",571217,"[PW] PAC","Food","Frozen - All","Jus Rol Puff Pastry",,,,"4 x 1.5 kg",4.0000,1,"1.500","kg",,0%,"18.05","6.0000000","kg","3.0083","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Lynas Foodservice Ltd",,"58976","Greyhound Racing Ireland Group Price List","S6018",566909,"Food","Ambient & Chilled: Cooking Ingredients","Seasoning","Seasoning : Cajun : Black",,,,"6x550g",6.0000,1,"550.000","g",,0%,"26.12","3.3000000","kg","7.9152","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Poultry","Lynas Foodservice Ltd",,"58976","Greyhound Racing Ireland Group Price List","3277",566346,"Food","Meat & Poultry","Chicken (Chilled)","Chicken : Fillets : 170-200g",,,,"2x25each",2.0000,1,"25.000","each",,0%,"48.33","50.0000000","each","0.9666","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Lynas Foodservice Ltd",,"58976","Greyhound Racing Ireland Group Price List","1379",566240,"Food","Frozen: Buffet","Cheesy Bites (Frozen)","Brie : Wedges : Breaded",,,,"6x24x37g",6.0000,24,"37.000","g",,0%,"83.57","5.3280000","kg","15.6851","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Lynas Foodservice Ltd",,"58976","Greyhound Racing Ireland Group Price List","3197",566233,"Food","Frozen: Buffet","Chicken Bites (Frozen)","Vista Chicken : Goujons : Breaded",,"Vista",,"5x25x40g",5.0000,25,"40.000","g",,0%,"45.70","5.0000000","kg","9.14","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Lynas Foodservice Ltd",,"58976","Greyhound Racing Ireland Group Price List","M4",562765,"Food","Frozen: Ice Cream, Lollies & Fruit","Ice Cream Tub","Lynas Ice Cream : Vanilla",,"Lynas",,"2x4ltr",2.0000,1,"4.000","ltr",,23%,"12.95","8.0000000","ltr","1.6188","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Lynas Foodservice Ltd",,"58976","Greyhound Racing Ireland Group Price List","7131",559750,"Food","Dairy: Cheese","Irish (Chilled)","Mozzarella Cheese : 100%",,,,"6x2kg",6.0000,1,"2.000","kg",,0%,"76.36","12.0000000","kg","6.3633","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
"Poultry","Lynas Foodservice Ltd",,"58976","Greyhound Racing Ireland Group Price List","3328",555645,"Food","Frozen: Meat & Poultry","Chicken (Frozen)","Chicken : Goujons : Breaded : Cooked",,,,"1x2kg",1.0000,1,"2.000","kg",,0%,"17.39","2.0000000","kg","8.695","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Lynas Foodservice Ltd",,"58976","Greyhound Racing Ireland Group Price List","3265",554809,"Food","Meat & Poultry","Turkey (Chilled)","Turkey : 4.5-6kg : Butterfly",,,,"Kg",1.0000,1,"1.000","kg",,0%,"5.95","1.0000000","kg","5.95","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Lynas Foodservice Ltd",,"58976","Greyhound Racing Ireland Group Price List","S3039",549220,"Food","Ambient & Chilled: Canned Vegetables","Peas","Crosse & Blackwell Peas : Mushy",,"Crosse & Blackwell",,"24x300g",24.0000,1,"300.000","g",,0%,"16.75","7.2000000","kg","2.3264","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Lynas Foodservice Ltd",,"58976","Greyhound Racing Ireland Group Price List","1317",549126,"Food","Frozen: Desserts","Pies & Flans (Frozen)","Apple Pie : Old Irish : 12 Portion",,,,"1x1each",1.0000,1,"1.000","each",,0%,"14.80","1.0000000","each","14.8","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
