EPOS ID, EPOS CODE, YIELD, GROUPING, MENU, COURSE, DISH, SELLING PRICE, TARGET GP, TAX, DISH ID
109796,1,1,Beverages,Curraheen Park Cork,Minerals & Splits,BT Sparkling Water 750ml,6.00,76.9,23.0000,52381,
109783,1,1,Beverages,Curraheen Park Cork,Minerals & Splits,BT Sprite Zero 200ml,2.90,79.2,23.0000,52365,
109807,1,1,Beverages,Curraheen Park Cork,Minerals & Splits,BT Sprite Zero 500ml,3.00,30.33,23.0000,52396,
109793,1,1,Beverages,Curraheen Park Cork,Minerals & Splits,BT Still Water 330ml,3.00,81.2,23.0000,52377,
109802,1,1,Beverages,Curraheen Park Cork,Minerals & Splits,BT Still Water 500ml,3.00,89,23.0000,52388,
109795,1,1,Beverages,Curraheen Park Cork,Minerals & Splits,BT Still Water 750ml,6.00,76.9,23.0000,52379,
109797,1,1,Beverages,Curraheen Park Cork,Minerals & Splits,BT Tonic Water 125ml,2.20,75.5,23.0000,52382,
109799,1,1,Beverages,Curraheen Park Cork,Minerals & Splits,BT White Lemonade 125ml,2.20,74.6,23.0000,52384,
109826,1,1,Beverages,Curraheen Park Cork,Minerals & Splits,Can Monster Energy 250ml,4.20,74.3,23.0000,52434,
109813,1,1,Beverages,Curraheen Park Cork,Minerals & Splits,Dash Cordial Blackcurrant 150ml,1.00,81.27,23.0000,52412,
109812,1,1,Beverages,Curraheen Park Cork,Minerals & Splits,Dash Cordial Lime 150ml,1.00,81.27,23.0000,52411,
109811,1,1,Beverages,Curraheen Park Cork,Minerals & Splits,Dash Cordial Orange 150ml,1.00,81.27,23.0000,52408,
109809,1,1,Beverages,Curraheen Park Cork,Minerals & Splits,Dash Red Lemonade 100ml,1.00,88.31,23.0000,52405,
109810,1,1,Beverages,Curraheen Park Cork,Minerals & Splits,Dash White Lemonade 100ml,1.00,88.6,23.0000,52406,
109814,1,1,Beverages,Curraheen Park Cork,Minerals & Splits,Jug of Cordial Blackcurrant 300ml,3.00,87.52,23.0000,52414,
109816,1,1,Beverages,Curraheen Park Cork,Minerals & Splits,Jug of Cordial Lime 300ml,3.00,87.52,23.0000,52418,
109815,1,1,Beverages,Curraheen Park Cork,Minerals & Splits,Jug of Cordial Orange 300ml,3.00,87.52,23.0000,52416,
109818,1,1,Beverages,Curraheen Park Cork,Minerals & Splits,PT Cordial Blackcurrant 150ml,1.50,87.51,23.0000,52421,
109819,1,1,Beverages,Curraheen Park Cork,Minerals & Splits,PT Cordial Lime 150ml,1.50,87.51,23.0000,52422,
109817,1,1,Beverages,Curraheen Park Cork,Minerals & Splits,PT Cordial Orange 150ml,1.50,87.51,23.0000,52419,
109823,1,1,Beverages,Curraheen Park Cork,Minerals & Splits,Splash Fanta Lemon 150ml ,1.00,68.22,23.0000,52428,
109822,1,1,Beverages,Curraheen Park Cork,Minerals & Splits,Splash Fanta Orange 150ml ,1.00,70.41,23.0000,52426,
109808,1,1,Beverages,Curraheen Park Cork,Minerals & Splits,Splash Lemon & Lime 150ml,1.00,72.37,23.0000,52402,
109825,1,1,Beverages,Curraheen Park Cork,Minerals & Splits,Sqeez Apple Juice 200ml,2.00,81.37,23.0000,52433,
109824,1,1,Beverages,Curraheen Park Cork,Minerals & Splits,Sqeez Orange Juice 200ml,2.00,81.37,23.0000,52429,
109779,1,1,Beverages,Curraheen Park Cork,N/A Wine Bottle,Torres Natureo Moscatel Spain 75cl,18.00,64.1,23.0000,52512,
109763,1,1,Beverages,Curraheen Park Cork,Red Wine Bottle,Aires Andinos Malbec Argentina 75cl,33.00,73.13,23.0000,52506,
109758,1,1,Beverages,Curraheen Park Cork,Red Wine Bottle,Copperfield Pinotage South Africa 75cl,31.00,74.3,23.0000,52478,
109762,1,1,Beverages,Curraheen Park Cork,Red Wine Bottle,Monologo Rioja Crianza Spain 75cl,33.00,66.38,23.0000,52505,
109760,1,1,Beverages,Curraheen Park Cork,Red Wine Bottle,Montanas Y Mar Cabernet Sauvignon Chile 75cl,29.90,72,23.0000,52494,
109759,1,1,Beverages,Curraheen Park Cork,Red Wine Bottle,Montgravet Merlot France 75cl,29.90,69.1,23.0000,52480,
109761,1,1,Beverages,Curraheen Park Cork,Red Wine Bottle,Solandia Nero D'avola Italy 75cl,29.00,70.04,23.0000,52502,
109765,2,4.2,Beverages,Curraheen Park Cork,Red Wine Glass,Montanas Y Mar Cabernet Sauvignon Chile 75cl,8.00,75.1,23.0000,52494,
109764,2,4.2,Beverages,Curraheen Park Cork,Red Wine Glass,Montgravet Merlot France 75cl,8.00,72.5,23.0000,52480,
109766,2,4.2,Beverages,Curraheen Park Cork,Red Wine Glass,Solandia Nero D'avola Italy 75cl,7.50,72.4,23.0000,52502,
109840,1,1,Beverages,Curraheen Park Cork,Rum,Bacardi,5.40,79.1,23.0000,52716,
109841,1,1,Beverages,Curraheen Park Cork,Rum,Captain Morgan Spiced,5.40,80,23.0000,52717,
109888,1,1,Beverages,Curraheen Park Cork,Rum,Jamacian Dark Rum,5.20,77,23.0000,53320,
109842,2,1,Beverages,Curraheen Park Cork,Rum,Malibu,5.20,81,23.0000,52708,
109846,1,1,Beverages,Curraheen Park Cork,Shots,Baby Guinness,6.00,76.2,23.0000,52726,
109845,1,1,Beverages,Curraheen Park Cork,Shots,Tequila,6.00,77.42,23.0000,52713,
109832,1,1,Beverages,Curraheen Park Cork,Vodka,Huzzar Vodka,5.20,75,23.0000,52108,
109833,1,1,Beverages,Curraheen Park Cork,Vodka,Smirnoff Vodka,5.50,82,23.0000,52703,
109851,1,1,Beverages,Curraheen Park Cork,Whiskey - American,Jack Daniels,5.60,71,23.0000,52714,
109852,1,1,Beverages,Curraheen Park Cork,Whiskey - American,Southern Comfort,5.00,73,23.0000,52715,
109890,1,1,Beverages,Curraheen Park Cork,Whiskey - Irish,Bushmills Black Bush,6.00,74,23.0000,52735,
109849,1,1,Beverages,Curraheen Park Cork,Whiskey - Irish,Bushmills Original,5.50,76,23.0000,52705,
109847,1,1,Beverages,Curraheen Park Cork,Whiskey - Irish,Jameson,5.20,72.5,23.0000,52699,
109850,1,1,Beverages,Curraheen Park Cork,Whiskey - Irish,Paddys,5.20,75,23.0000,52744,
109848,1,1,Beverages,Curraheen Park Cork,Whiskey - Irish,Powers,5.20,74,23.0000,52700,
109843,1,1,Beverages,Curraheen Park Cork,Whisky - Scotch,Black & White,5.20,76.9,23.0000,52704,
109768,1,1,Beverages,Curraheen Park Cork,White Wine Bottle,Borsari Pinot Grigio Garganega Italy 75cl,29.90,73.66,23.0000,52476,
109884,1,1,Beverages,Curraheen Park Cork,White Wine Bottle,Copperfield Chenin Blanc South Africa 75cl,28.00,72.3,23.0000,52507,
109769,1,1,Beverages,Curraheen Park Cork,White Wine Bottle,Lopez de Haro Rosado Spain 75cl,32.00,66.88,23.0000,52483,
109770,1,1,Beverages,Curraheen Park Cork,White Wine Bottle,Marlborough Sun Sauvignon Blanc 75cl,43.00,67.86,23.0000,52491,
109771,1,1,Beverages,Curraheen Park Cork,White Wine Bottle,Montanas Y Mar Sauvignon Blanc Chile 75cl,29.90,71.94,23.0000,52498,
109885,1,1,Beverages,Curraheen Park Cork,White Wine Bottle,Pioner Mundi Albarino Spain 75cl,32.00,64.7,23.0000,53319,
109767,1,1,Beverages,Curraheen Park Cork,White Wine Bottle,Tocornal Chardonnay Chile 75cl,29.00,72.34,23.0000,52475,
109773,2,4.2,Beverages,Curraheen Park Cork,White Wine Glass,Borsari Pinot Grigio Garganega Italy 75cl,8.00,76.56,23.0000,52476,
109774,2,4.2,Beverages,Curraheen Park Cork,White Wine Glass,Montanas Y Mar Sauvignon Blanc Chile 75cl,8.00,75.03,23.0000,52498,
109772,2,4.2,Beverages,Curraheen Park Cork,White Wine Glass,Tocornal Chardonnay Chile 75cl,7.50,74.53,23.0000,52475,
109331,1,1,Beverages,Galway,Bottled Beer,Can WCC Original 250ml,6.30,68.3,23.0000,52362,
109332,1,1,Beverages,Galway,Bottled Beer,Can WCC Rose 250ml,6.30,68.3,23.0000,52364,
109325,1,1,Beverages,Galway,Bottled Beer,L/N Birra Moretti 330ml,6.00,68.4,23.0000,52352,
109321,1,1,Beverages,Galway,Bottled Beer,L/N Coors Light 330ml,6.00,76.4,23.0000,52348,
109326,1,1,Beverages,Galway,Bottled Beer,L/N Desperados 330ml,6.00,65.8,23.0000,52353,
109883,1,1,Beverages,Galway,Bottled Beer,L/N Heineken 0.0 330ml,5.50,77.4,23.0000,52351,
109320,1,1,Beverages,Galway,Bottled Beer,L/N Heineken 355ml,6.00,72.2,23.0000,52346,
109329,1,1,Beverages,Galway,Bottled Beer,L/N Smirnoff Ice 275ml,6.30,74.8,23.0000,52360,
109322,1,1,Beverages,Galway,Bottled Beer,L/N Sol 330ml,6.00,74.1,23.0000,52349,
109330,1,1,Beverages,Galway,Bottled Beer,L/N WKD Blue 275ml,6.30,76.9,23.0000,52361,
109357,1,1,Beverages,Galway,Brandy,Hennessy,5.50,64,23.0000,52697,
109302,1,1,Beverages,Galway,Champagne/Sparkling Bottle,Dogarina Prosecco Italy 75cl,32.00,67,23.0000,52488,
109301,1,1,Beverages,Galway,Champagne/Sparkling Bottle,Lanson Black Label Brut France 75cl,90.00,45.83,23.0000,52486,
109304,1,1,Beverages,Galway,Champagne/Sparkling Bottle,Lanson Rose Label France 75cl,110.00,43.16,23.0000,52511,
109303,1,1,Beverages,Galway,Champagne/Sparkling Bottle,Segura Viudas Brut Reserva Cava Spain 75cl,40.00,59.18,23.0000,52510,
109459,1,1,Beverages,Galway,Cocktails,Espresso Martini,10.00,69.1,23.0000,53303,
109309,1,1,Beverages,Galway,Draught Beer,PT Coors Light,6.00,56.8,23.0000,52330,
109306,1,1,Beverages,Galway,Draught Beer,PT Guinness,5.50,55,23.0000,52105,
109307,1,1,Beverages,Galway,Draught Beer,PT Heineken,6.00,56.8,23.0000,52326,
109310,1,1,Beverages,Galway,Draught Beer,PT Moretti,6.70,54.8,23.0000,52333,
109308,1,1,Beverages,Galway,Draught Beer,PT Murphys Red Ale,5.50,53.9,23.0000,52329,
109311,1,1,Beverages,Galway,Draught Beer,PT Orchards Thieves,6.00,55,23.0000,52334,
109338,1,1,Beverages,Galway,Gin,Brockman's Premium Gin,8.50,77.3,23.0000,52733,
109333,1,1,Beverages,Galway,Gin,Cork Dry Gin,4.90,78.6,23.0000,52701,
109361,1,1,Beverages,Galway,Gin,Gordons Rose Gin,4.90,74.2,23.0000,53289,
