Date Created,31/01/2024 09:38:25
Unit,Best Group Prices



Dish Title,Menu Grouping,Menu,Course,EPoS Code,Missing Price,Actual Cost,Target Cost,Cost Variance,Theoretical Gross Profit,Target Gross Profit,Gross Profit Variance,Actual Selling Price,Target Selling Price,Selling Price Variance,Actual Cash Profit,Target Cash Profit,Cash Profit Variance
"Warm Black Pudding Salad GWY","Food","Galway","Bistro Menu","Starter",0,1.69,1.72,0.03,75.4%,75.0%,0.4%,7.50,7.37,0.13,5.19,5.16,0.03,
"Panko Encrusted Fish Cake GWY","Food","Galway","Bistro Menu","Starter",0,1.39,1.72,0.33,79.8%,75.0%,4.8%,7.50,6.06,1.44,5.49,5.16,0.33,
"Apple & Rhubarb Crumble GWY","Food","Galway","2 Course Menu  €35","Dessert",0,1.35,2.06,0.71,80.4%,70.0%,10.4%,7.50,4.90,2.60,5.53,4.82,0.71,
"Sticky Toffee Pudding GWY","Food","Galway","2 Course Menu  €35","Dessert",0,1.19,2.06,0.87,82.7%,70.0%,12.7%,7.50,4.32,3.18,5.69,4.82,0.87,
"Summer Berry Cheesecake GWY","Food","Galway","2 Course Menu  €35","Dessert",2,1.17,2.06,0.89,83.0%,70.0%,13.0%,7.50,4.25,3.25,5.71,4.82,0.89,
"Slow Braised Blade of Angus Beef GWY","Food","Galway","2 Course Menu  €35","Main Course",0,4.17,4.59,0.42,77.3%,75.0%,2.3%,20.00,18.18,1.82,14.18,13.76,0.42,
"Oven Baked Fillet of Atlantic Cod GWY","Food","Galway","2 Course Menu  €35","Main Course",0,4.87,4.59,-0.28,73.5%,75.0%,-1.5%,20.00,21.23,-1.23,13.48,13.76,-0.28,
"Pan Fried Supreme of Clonakilty Chicken GWY","Food","Galway","2 Course Menu  €35","Main Course",0,2.82,4.59,1.77,84.6%,75.0%,9.6%,20.00,12.30,7.70,15.53,13.76,1.77,
"Slow Cooked Confit Barbary Duck Leg GWY ","Food","Galway","2 Course Menu  €35","Main Course",0,6.43,6.42,-0.01,65.0%,65.0%,0.0%,20.00,20.02,-0.02,11.92,11.93,-0.01,
"Pan Fried Potato Gnocchi GWY","Food","Galway","2 Course Menu  €35","Main Course",1,2.47,4.59,2.12,86.5%,75.0%,11.5%,20.00,10.77,9.23,15.88,13.76,2.12,
"Oriental Chicken Springroll GWY","Food","Galway","2 Course Menu  €35","Starter",4,1.70,2.06,0.36,75.3%,70.0%,5.3%,7.50,6.18,1.32,5.18,4.82,0.36,
"Carrot & Ginger Soup w/ Wholemeal Scone GWY","Food","Galway","2 Course Menu  €35","Starter",0,0.63,2.06,1.43,90.8%,70.0%,20.8%,7.50,2.29,5.21,6.25,4.82,1.43,
