Date Created,31/01/2024 09:38:25
Unit,Best Group Prices



Dish Title,Menu Grouping,Menu,Course,EPoS Code,Missing Price,Actual Cost,Target Cost,Cost Variance,Theoretical Gross Profit,Target Gross Profit,Gross Profit Variance,Actual Selling Price,Target Selling Price,Selling Price Variance,Actual Cash Profit,Target Cash Profit,Cash Profit Variance
"Powers","Beverages","Newbridge","Whiskey - Irish","1",0,1.12,1.10,-0.02,73.5%,74.0%,-0.5%,5.20,5.30,-0.10,3.11,3.13,-0.02,
"Bushmills Original","Beverages","Newbridge","Whiskey - Irish","1",0,1.03,1.03,0.00,76.1%,76.0%,0.1%,5.30,5.28,0.02,3.28,3.27,0.00,
"Paddys","Beverages","Newbridge","Whiskey - Irish","1",0,1.03,1.06,0.03,75.6%,75.0%,0.6%,5.20,5.07,0.13,3.20,3.17,0.03,
"Black & White","Beverages","Newbridge","Whisky - Scotch","1",0,1.00,0.98,-0.02,77.2%,77.8%,-0.6%,5.40,5.54,-0.14,3.39,3.42,-0.02,
"Jack Daniels","Beverages","Newbridge","Whiskey - American","1",0,1.32,1.32,0.00,72.0%,72.0%,0.0%,5.80,5.80,0.00,3.40,3.40,0.00,
"Southern Comfort","Beverages","Newbridge","Whiskey - American","1",0,1.09,1.10,0.01,75.6%,75.5%,0.1%,5.50,5.47,0.03,3.38,3.38,0.01,
"Sambuca","Beverages","Newbridge","Liqueurs","1",0,1.02,1.22,0.20,79.1%,75.0%,4.1%,6.00,5.02,0.98,3.86,3.66,0.20,
"Baileys Irish Cream","Beverages","Newbridge","Liqueurs","1",0,0.75,0.98,0.23,84.6%,80.0%,4.6%,6.00,4.61,1.39,4.13,3.90,0.23,
"Tia Maria","Beverages","Newbridge","Liqueurs","1",0,0.85,0.85,0.00,82.6%,82.5%,0.1%,6.00,5.97,0.03,4.03,4.02,0.00,
"Jagermeister","Beverages","Newbridge","Liqueurs","1",0,1.00,1.00,0.00,79.5%,79.5%,0.0%,6.00,6.00,0.00,3.88,3.88,0.00,
"Hennessy","Beverages","Newbridge","Brandy","1",0,1.61,1.61,0.00,65.9%,65.8%,0.1%,5.80,5.79,0.01,3.11,3.10,0.00,
"Tequila","Beverages","Newbridge","Shots","1",0,1.10,1.10,0.00,77.4%,77.4%,0.0%,6.00,5.99,0.01,3.78,3.78,0.00,
"Baby Guinness","Beverages","Newbridge","Shots","1",0,1.17,1.16,-0.01,76.0%,76.2%,-0.2%,6.00,6.05,-0.05,3.71,3.72,-0.01,
"Latte Coffee","Beverages","Newbridge","Hot Beverages","1",0,0.48,0.49,0.01,84.0%,83.6%,0.5%,3.70,3.59,0.11,2.53,2.51,0.01,
"Cappuccino Coffee","Beverages","Newbridge","Hot Beverages","1",0,0.52,0.54,0.02,82.7%,82.2%,0.5%,3.70,3.59,0.11,2.49,2.47,0.02,
"Espresso Coffee","Beverages","Newbridge","Hot Beverages","1",0,0.40,0.40,0.00,81.1%,80.9%,0.1%,2.60,2.58,0.02,1.71,1.71,0.00,
"Tea Pot","Beverages","Newbridge","Hot Beverages","1",0,0.39,0.41,0.02,79.1%,78.0%,1.2%,2.30,2.18,0.12,1.48,1.46,0.02,
"Americano Coffee - Takeaway","Beverages","Newbridge","Hot Beverages","1",0,0.49,0.49,0.00,78.5%,78.4%,0.0%,2.80,2.80,0.00,1.79,1.79,0.00,
"Cappuccino Coffee - Takeaway","Beverages","Newbridge","Hot Beverages","1",0,0.70,0.72,0.02,70.3%,69.5%,0.8%,2.90,2.82,0.08,1.66,1.64,0.02,
"Espresso Coffee - Takeaway","Beverages","Newbridge","Hot Beverages","1",0,0.59,0.59,0.00,72.1%,72.3%,-0.2%,2.60,2.62,-0.02,1.52,1.53,0.00,
"Latte Coffee - Takeaway","Beverages","Newbridge","Hot Beverages","1",0,0.66,0.68,0.02,72.0%,71.3%,0.7%,2.90,2.83,0.07,1.70,1.68,0.02,
"Tea - Takeaway","Beverages","Newbridge","Hot Beverages","1",0,0.37,0.38,0.01,80.2%,79.6%,0.6%,2.30,2.23,0.07,1.50,1.49,0.01,
"Hot Chocolate","Beverages","Newbridge","Hot Beverages","1",0,0.56,0.57,0.01,75.4%,74.8%,0.6%,2.80,2.73,0.07,1.72,1.70,0.01,
"Hot Chocolate - Takeaway","Beverages","Newbridge","Hot Beverages","1",0,0.74,0.76,0.02,67.5%,66.8%,0.7%,2.80,2.74,0.06,1.54,1.52,0.02,
"Americano Coffee","Beverages","Newbridge","Hot Beverages","1",0,0.31,0.31,0.00,88.1%,88.0%,0.1%,3.20,3.18,0.02,2.29,2.29,0.00,
"Tea Cup","Beverages","Newbridge","Hot Beverages","1",0,0.19,0.21,0.02,89.8%,89.0%,0.8%,2.30,2.12,0.18,1.68,1.66,0.02,
"Hot Irish Whiskey","Beverages","Newbridge","Liqueurs Coffee","1",0,1.49,1.47,-0.02,69.5%,69.9%,-0.4%,6.00,6.09,-0.09,3.39,3.41,-0.02,
"Irish Coffee","Beverages","Newbridge","Liqueurs Coffee","1",0,1.67,1.65,-0.02,70.2%,70.5%,-0.3%,6.90,6.96,-0.06,3.94,3.95,-0.02,
"Baileys Coffee","Beverages","Newbridge","Liqueurs Coffee","1",0,1.15,1.12,-0.03,79.5%,80.0%,-0.5%,6.90,7.07,-0.17,4.46,4.49,-0.03,
"Hot Port","Beverages","Newbridge","Liqueurs Coffee","1",0,0.95,0.91,-0.04,80.5%,81.3%,-0.8%,6.00,6.25,-0.25,3.93,3.97,-0.04,
"PT Guinness","Beverages","Mullingar","Draught Beer","1",0,2.00,2.01,0.01,55.3%,55.0%,0.3%,5.50,5.47,0.03,2.47,2.46,0.01,
"PT Heineken","Beverages","Mullingar","Draught Beer","1",0,2.10,2.11,0.01,57.0%,56.8%,0.2%,6.00,5.98,0.02,2.78,2.77,0.01,
"PT Murphys Red Ale","Beverages","Mullingar","Draught Beer","1",0,2.06,2.06,0.00,57.1%,57.1%,0.0%,5.90,5.91,-0.01,2.74,2.74,0.00,
"PT Coors Light","Beverages","Mullingar","Draught Beer","1",0,2.10,2.11,0.01,57.0%,56.8%,0.2%,6.00,5.98,0.02,2.78,2.77,0.01,
"PT Orchards Thieves","Beverages","Mullingar","Draught Beer","1",0,2.19,2.20,0.01,55.1%,55.0%,0.1%,6.00,5.99,0.01,2.69,2.68,0.01,
"GL Guinness","Beverages","Mullingar","Draught Beer","1",0,1.00,1.07,0.07,62.7%,60.0%,2.7%,3.30,3.08,0.22,1.68,1.61,0.07,
"GL Heineken","Beverages","Mullingar","Draught Beer","1",0,1.05,1.05,0.00,67.7%,67.6%,0.1%,4.00,3.99,0.01,2.20,2.20,0.00,
"GL Coors Light","Beverages","Mullingar","Draught Beer","1",0,1.05,1.05,0.00,67.7%,67.6%,0.1%,4.00,3.99,0.01,2.20,2.20,0.00,
"GL Orchard Thieves","Beverages","Mullingar","Draught Beer","1",0,1.10,1.10,0.00,66.2%,66.2%,0.0%,4.00,4.00,0.00,2.15,2.15,0.00,
"GL Murphys Red Ale","Beverages","Mullingar","Draught Beer","1",0,1.03,1.03,0.00,63.8%,63.8%,0.0%,3.50,3.50,0.00,1.82,1.82,0.00,
"L/N Heineken 355ml","Beverages","Mullingar","Bottled Beer","1",0,1.35,1.35,0.00,74.8%,74.8%,0.1%,6.60,6.59,0.01,4.02,4.01,0.00,
"L/N Coors Light 330ml","Beverages","Mullingar","Bottled Beer","1",0,1.15,1.15,0.00,78.6%,78.6%,0.0%,6.60,6.61,-0.01,4.22,4.22,0.00,
"L/N Sol 330ml","Beverages","Mullingar","Bottled Beer","1",0,1.26,1.26,0.00,76.5%,76.5%,0.0%,6.60,6.60,0.00,4.11,4.11,0.00,
"L/N Heineken 0.0 330ml","Beverages","Mullingar","Bottled Beer","1",0,1.01,1.01,0.00,77.4%,77.5%,-0.1%,5.50,5.51,-0.01,3.46,3.46,0.00,
"L/N Birra Moretti 330ml","Beverages","Mullingar","Bottled Beer","1",0,1.54,1.54,0.00,71.3%,71.3%,0.0%,6.60,6.60,0.00,3.83,3.83,0.00,
"L/N Desperados 330ml","Beverages","Mullingar","Bottled Beer","1",0,1.67,1.67,0.00,69.3%,69.4%,-0.1%,6.70,6.72,-0.02,3.78,3.78,0.00,
"PT BTL Orchard Thieves 568ml","Beverages","Mullingar","Bottled Beer","1",0,2.33,2.33,0.00,55.9%,55.9%,0.0%,6.50,6.50,0.00,2.95,2.95,0.00,
"L/N Smirnoff Ice 275ml","Beverages","Mullingar","Bottled Beer","1",0,1.34,1.29,-0.05,74.2%,75.2%,-0.9%,6.40,6.64,-0.24,3.86,3.91,-0.05,
"L/N WKD Blue 275ml","Beverages","Mullingar","Bottled Beer","1",0,1.18,1.18,0.00,77.3%,77.3%,0.0%,6.40,6.39,0.01,4.02,4.02,0.00,
"Can WCC Original 250ml","Beverages","Mullingar","Bottled Beer","1",0,1.78,1.62,-0.16,66.3%,69.3%,-3.0%,6.50,7.13,-0.63,3.50,3.66,-0.16,
"Can WCC Rose 250ml","Beverages","Mullingar","Bottled Beer","1",0,1.78,1.62,-0.16,66.3%,69.3%,-3.0%,6.50,7.13,-0.63,3.50,3.66,-0.16,
"Copperfield Pinotage South Africa 75cl","Beverages","Mullingar","Red Wine Bottle","1",0,6.47,6.47,0.00,71.6%,71.6%,0.0%,28.00,28.02,-0.02,16.29,16.30,0.00,
"Montgravet Merlot France 75cl","Beverages","Mullingar","Red Wine Bottle","1",0,7.51,7.51,0.00,67.0%,67.0%,0.0%,28.00,27.99,0.01,15.25,15.25,0.00,
"Montanas Y Mar Cabernet Sauvignon Chile 75cl","Beverages","Mullingar","Red Wine Bottle","1",0,6.80,6.80,0.00,69.0%,69.0%,0.0%,27.00,26.98,0.02,15.15,15.15,0.00,
"Solandia Nero D'avola Italy 75cl","Beverages","Mullingar","Red Wine Bottle","1",0,7.06,7.07,0.01,67.8%,67.8%,0.0%,27.00,26.97,0.03,14.89,14.88,0.01,
"Monologo Rioja Crianza Spain 75cl","Beverages","Mullingar","Red Wine Bottle","1",0,9.02,9.02,0.00,64.2%,64.2%,0.0%,31.00,30.99,0.01,16.18,16.18,0.00,
"Aires Andinos Malbec Argentina 75cl","Beverages","Mullingar","Red Wine Bottle","1",0,7.21,7.21,0.00,71.4%,71.4%,0.0%,31.00,31.01,-0.01,17.99,18.00,0.00,
"Montgravet Merlot France 75cl","Beverages","Mullingar","Red Wine Glass","2",0,7.51,1.79,-5.72,-23.2%,70.6%,-93.8%,7.50,31.42,-23.92,-1.41,4.30,-5.72,
"Montanas Y Mar Cabernet Sauvignon Chile 75cl","Beverages","Mullingar","Red Wine Glass","2",0,6.80,1.62,-5.18,-11.5%,73.4%,-84.9%,7.50,31.44,-23.94,-0.70,4.48,-5.18,
"Solandia Nero D'avola Italy 75cl","Beverages","Mullingar","Red Wine Glass","2",0,7.06,1.68,-5.38,-24.1%,70.4%,-94.5%,7.00,29.34,-22.34,-1.37,4.01,-5.38,
"Tocornal Chardonnay Chile 75cl","Beverages","Mullingar","White Wine Bottle","1",0,6.52,6.54,0.02,70.3%,70.2%,0.1%,27.00,26.91,0.09,15.43,15.41,0.02,
"Borsari Pinot Grigio Garganega Italy 75cl","Beverages","Mullingar","White Wine Bottle","1",0,6.40,6.41,0.01,70.8%,70.8%,0.0%,27.00,26.96,0.04,15.55,15.54,0.01,
"Lopez de Haro Rosado Spain 75cl","Beverages","Mullingar","White Wine Bottle","1",0,8.62,8.63,0.01,64.7%,64.6%,0.1%,30.00,29.95,0.05,15.77,15.76,0.01,
"Marlborough Sun Sauvignon Blanc 75cl","Beverages","Mullingar","White Wine Bottle","1",0,11.24,11.26,0.02,64.6%,64.5%,0.1%,39.00,38.94,0.06,20.47,20.45,0.02,
"Montanas Y Mar Sauvignon Blanc Chile 75cl","Beverages","Mullingar","White Wine Bottle","1",0,6.82,6.83,0.01,68.9%,68.9%,0.0%,27.00,26.97,0.03,15.13,15.12,0.01,
"Solandia Grillo Italy 75cl","Beverages","Mullingar","White Wine Bottle","1",0,6.96,6.97,0.01,69.4%,69.4%,0.0%,28.00,27.98,0.02,15.80,15.80,0.01,
"Copperfield Chenin Blanc South Africa 75cl","Beverages","Mullingar","White Wine Bottle","1",1,0.00,6.31,6.31,100.0%,72.3%,27.7%,28.00,0.00,28.00,22.76,16.46,6.31,
"Tocornal Chardonnay Chile 75cl","Beverages","Mullingar","White Wine Glass","2",0,6.52,1.55,-4.97,-14.6%,72.7%,-87.3%,7.00,29.38,-22.38,-0.83,4.14,-4.97,
"Borsari Pinot Grigio Garganega Italy 75cl","Beverages","Mullingar","White Wine Glass","2",0,6.40,1.52,-4.88,-5.0%,75.0%,-80.0%,7.50,31.49,-23.99,-0.30,4.57,-4.88,
"Montanas Y Mar Sauvignon Blanc Chile 75cl","Beverages","Mullingar","White Wine Glass","2",0,6.82,1.63,-5.19,-11.8%,73.3%,-85.1%,7.50,31.42,-23.92,-0.72,4.47,-5.19,
"Lanson Black Label Brut France 75cl","Beverages","Mullingar","Champagne/Sparkling Bottle","1",0,39.63,39.64,0.01,45.8%,45.8%,0.0%,90.00,89.99,0.01,33.54,33.53,0.01,
"Dogarina Prosecco Italy 75cl","Beverages","Mullingar","Champagne/Sparkling Bottle","1",0,8.58,8.59,0.01,64.8%,64.8%,0.0%,30.00,29.98,0.02,15.81,15.80,0.01,
"Segura Viudas Brut Reserva Cava Spain 75cl","Beverages","Mullingar","Champagne/Sparkling Bottle","1",0,13.28,13.27,-0.01,59.2%,59.2%,0.0%,40.00,40.02,-0.02,19.24,19.25,-0.01,
"Lanson Rose Label France 75cl","Beverages","Mullingar","Champagne/Sparkling Bottle","1",0,50.83,50.83,0.00,43.2%,43.2%,0.0%,110.00,109.99,0.01,38.60,38.60,0.00,
"Torres Natureo Moscatel Spain 75cl","Beverages","Mullingar","N/A Wine Bottle","1",0,5.25,5.25,0.00,64.1%,64.1%,0.0%,18.00,17.99,0.01,9.38,9.38,0.00,
"Cosmopolitan","Beverages","Mullingar","Cocktails","1",1,2.39,2.68,0.29,73.3%,70.0%,3.3%,11.00,9.80,1.20,6.55,6.26,0.29,
"BT Sprite Zero 200ml","Beverages","Mullingar","Minerals & Splits","1",0,0.49,0.49,0.00,79.9%,80.0%,0.0%,3.00,3.01,-0.01,1.95,1.95,0.00,
"BT Coca Cola 200ml","Beverages","Mullingar","Minerals & Splits","1",0,0.60,0.60,0.00,75.4%,75.4%,0.0%,3.00,3.00,0.00,1.84,1.84,0.00,
"BT Diet Coke 200ml","Beverages","Mullingar","Minerals & Splits","1",0,0.56,0.56,0.00,77.0%,77.1%,-0.1%,3.00,3.01,-0.01,1.88,1.88,0.00,
"BT Fanta Orange 200ml","Beverages","Mullingar","Minerals & Splits","1",0,0.49,0.49,0.00,79.9%,80.0%,-0.1%,3.00,3.01,-0.01,1.95,1.95,0.00,
"BT Fanta Lemon 200ml","Beverages","Mullingar","Minerals & Splits","1",0,0.49,0.49,0.00,79.9%,80.0%,-0.1%,3.00,3.01,-0.01,1.95,1.95,0.00,
"BT Coke Zero 200ml","Beverages","Mullingar","Minerals & Splits","1",0,0.56,0.56,0.00,77.0%,77.1%,-0.1%,3.00,3.01,-0.01,1.88,1.88,0.00,
"BT Lucozade","Beverages","Mullingar","Minerals & Splits","1",0,0.75,0.77,0.02,73.6%,73.0%,0.6%,3.50,3.42,0.08,2.10,2.08,0.02,
"BT Orange Juice 200ml","Beverages","Mullingar","Minerals & Splits","1",0,0.63,0.62,-0.01,74.2%,74.4%,-0.2%,3.00,3.02,-0.02,1.81,1.81,-0.01,
"BT Cranberry Juice 200ml","Beverages","Mullingar","Minerals & Splits","1",0,0.63,0.62,-0.01,74.2%,74.4%,-0.2%,3.00,3.02,-0.02,1.81,1.81,-0.01,
"BT Still Water 330ml","Beverages","Mullingar","Minerals & Splits","1",0,0.46,0.48,0.02,83.8%,83.0%,0.8%,3.50,3.33,0.17,2.39,2.36,0.02,
"BT Sparkling Water 330ml","Beverages","Mullingar","Minerals & Splits","1",0,0.46,0.48,0.02,83.8%,83.0%,0.8%,3.50,3.33,0.17,2.39,2.36,0.02,
"BT Tonic Water 125ml","Beverages","Mullingar","Minerals & Splits","1",0,0.44,0.45,0.01,78.4%,78.0%,0.4%,2.50,2.46,0.04,1.59,1.59,0.01,
"BT Slimline Tonic 125ml","Beverages","Mullingar","Minerals & Splits","1",0,0.44,0.45,0.01,78.4%,78.0%,0.4%,2.50,2.46,0.04,1.59,1.59,0.01,
"BT White Lemonade 125ml","Beverages","Mullingar","Minerals & Splits","1",0,0.45,0.47,0.02,77.9%,77.0%,0.9%,2.50,2.41,0.09,1.58,1.57,0.02,
"BT Ginger Ale 125ml","Beverages","Mullingar","Minerals & Splits","1",0,0.44,0.45,0.01,78.4%,78.0%,0.4%,2.50,2.46,0.04,1.59,1.59,0.01,
"BT Soda Water 125ml","Beverages","Mullingar","Minerals & Splits","1",0,0.44,0.45,0.01,78.4%,78.0%,0.4%,2.50,2.46,0.04,1.59,1.59,0.01,
"Splash Lemon & Lime 150ml","Beverages","Mullingar","Minerals & Splits","1",0,0.22,0.22,0.00,72.9%,72.4%,0.6%,1.00,0.98,0.02,0.59,0.59,0.00,
"Dash Red Lemonade 100ml","Beverages","Mullingar","Minerals & Splits","1",0,0.10,0.10,0.00,87.7%,88.3%,-0.6%,1.00,1.05,-0.05,0.71,0.72,0.00,
"Dash White Lemonade 100ml","Beverages","Mullingar","Minerals & Splits","1",0,0.09,0.09,0.00,88.9%,88.6%,0.3%,1.00,0.97,0.03,0.72,0.72,0.00,
"Dash Cordial Orange 150ml","Beverages","Mullingar","Minerals & Splits","1",0,0.15,0.15,0.00,81.6%,81.3%,0.3%,1.00,0.99,0.01,0.66,0.66,0.00,
"Dash Cordial Lime 150ml","Beverages","Mullingar","Minerals & Splits","1",0,0.15,0.15,0.00,81.6%,81.3%,0.3%,1.00,0.99,0.01,0.66,0.66,0.00,
"Dash Cordial Blackcurrant 150ml","Beverages","Mullingar","Minerals & Splits","1",0,0.15,0.15,0.00,81.6%,81.3%,0.3%,1.00,0.99,0.01,0.66,0.66,0.00,
"Jug of Cordial Blackcurrant 300ml","Beverages","Mullingar","Minerals & Splits","1",0,0.30,0.30,0.00,87.7%,87.5%,0.2%,3.00,2.96,0.04,2.14,2.13,0.00,
"Jug of Cordial Orange 300ml","Beverages","Mullingar","Minerals & Splits","1",0,0.30,0.30,0.00,87.7%,87.5%,0.2%,3.00,2.96,0.04,2.14,2.13,0.00,
"Jug of Cordial Lime 300ml","Beverages","Mullingar","Minerals & Splits","1",0,0.30,0.30,0.00,87.7%,87.5%,0.2%,3.00,2.96,0.04,2.14,2.13,0.00,
"PT Cordial Orange 150ml","Beverages","Mullingar","Minerals & Splits","1",0,0.15,0.15,0.00,87.7%,87.5%,0.2%,1.50,1.48,0.02,1.07,1.07,0.00,
"PT Cordial Blackcurrant 150ml","Beverages","Mullingar","Minerals & Splits","1",0,0.15,0.15,0.00,87.7%,87.5%,0.2%,1.50,1.48,0.02,1.07,1.07,0.00,
"PT Cordial Lime 150ml","Beverages","Mullingar","Minerals & Splits","1",0,0.15,0.15,0.00,87.7%,87.5%,0.2%,1.50,1.48,0.02,1.07,1.07,0.00,
"Splash Fanta Orange 150ml ","Beverages","Mullingar","Minerals & Splits","1",0,0.24,0.24,0.00,70.5%,70.4%,0.1%,1.00,1.00,0.00,0.57,0.57,0.00,
"Splash Fanta Lemon 150ml ","Beverages","Mullingar","Minerals & Splits","1",0,0.26,0.26,0.00,68.0%,68.2%,-0.2%,1.00,1.01,-0.01,0.55,0.55,0.00,
"Can Monster Energy 250ml","Beverages","Mullingar","Minerals & Splits","1",0,0.88,0.88,0.00,77.0%,77.0%,0.0%,4.70,4.71,-0.01,2.94,2.94,0.00,
"BT Elderflower Tonic Water 200ml","Beverages","Mullingar","Minerals & Splits","1",0,0.56,0.56,0.00,80.3%,80.2%,0.1%,3.50,3.48,0.02,2.29,2.28,0.00,
"Smirnoff Vodka","Beverages","Mullingar","Vodka","1",0,0.81,0.80,-0.01,81.6%,81.7%,-0.2%,5.40,5.44,-0.04,3.58,3.59,-0.01,
"Gordons Original Gin","Beverages","Mullingar","Gin","1",0,0.95,0.93,-0.02,77.5%,78.0%,-0.5%,5.20,5.31,-0.11,3.28,3.30,-0.02,
"Glendalough Rose Gin","Beverages","Mullingar","Gin","1",0,1.51,1.51,0.00,67.4%,67.4%,0.0%,5.70,5.70,0.00,3.12,3.12,0.00,
"Glendalough Wild Botanical Gin","Beverages","Mullingar","Gin","1",0,1.60,1.60,0.00,65.5%,65.5%,0.0%,5.70,5.70,0.00,3.03,3.04,0.00,
"Bacardi","Beverages","Mullingar","Rum","1",0,0.91,0.91,0.00,79.6%,79.6%,0.1%,5.50,5.48,0.02,3.56,3.56,0.00,
"Captain Morgan Spiced","Beverages","Mullingar","Rum","1",0,0.86,0.85,-0.01,80.8%,81.0%,-0.2%,5.50,5.57,-0.07,3.61,3.62,-0.01,
"Malibu","Beverages","Mullingar","Rum","2",0,0.78,0.77,-0.01,82.6%,82.8%,-0.2%,5.50,5.58,-0.08,3.69,3.70,-0.01,
"Jameson","Beverages","Mullingar","Whiskey - Irish","1",0,1.18,1.16,-0.02,72.1%,72.5%,-0.4%,5.20,5.28,-0.08,3.05,3.07,-0.02,
"Powers","Beverages","Mullingar","Whiskey - Irish","1",0,1.12,1.10,-0.02,73.5%,74.0%,-0.5%,5.20,5.30,-0.10,3.11,3.13,-0.02,
"Bushmills Original","Beverages","Mullingar","Whiskey - Irish","1",0,1.03,1.03,0.00,76.1%,76.0%,0.1%,5.30,5.28,0.02,3.28,3.27,0.00,
"Paddys","Beverages","Mullingar","Whiskey - Irish","1",0,1.03,1.06,0.03,75.6%,75.0%,0.6%,5.20,5.07,0.13,3.20,3.17,0.03,
"Black & White","Beverages","Mullingar","Whisky - Scotch","1",0,1.00,0.98,-0.02,77.2%,77.8%,-0.6%,5.40,5.54,-0.14,3.39,3.42,-0.02,
"Jack Daniels","Beverages","Mullingar","Whiskey - American","1",0,1.32,1.32,0.00,72.0%,72.0%,0.0%,5.80,5.80,0.00,3.40,3.40,0.00,
"Southern Comfort","Beverages","Mullingar","Whiskey - American","1",0,1.09,1.10,0.01,75.6%,75.5%,0.1%,5.50,5.47,0.03,3.38,3.38,0.01,
"Sambuca","Beverages","Mullingar","Liqueurs","1",0,1.02,1.22,0.20,79.1%,75.0%,4.1%,6.00,5.02,0.98,3.86,3.66,0.20,
"Baileys Irish Cream","Beverages","Mullingar","Liqueurs","1",0,0.75,0.98,0.23,84.6%,80.0%,4.6%,6.00,4.61,1.39,4.13,3.90,0.23,
"Tia Maria","Beverages","Mullingar","Liqueurs","1",0,0.85,0.85,0.00,82.6%,82.5%,0.1%,6.00,5.97,0.03,4.03,4.02,0.00,
"Jagermeister","Beverages","Mullingar","Liqueurs","1",0,1.00,1.00,0.00,79.5%,79.5%,0.0%,6.00,6.00,0.00,3.88,3.88,0.00,
"Hennessy","Beverages","Mullingar","Brandy","1",0,1.61,1.61,0.00,65.9%,65.8%,0.1%,5.80,5.79,0.01,3.11,3.10,0.00,
"Tequila","Beverages","Mullingar","Shots","1",0,1.10,1.10,0.00,77.4%,77.4%,0.0%,6.00,5.99,0.01,3.78,3.78,0.00,
"Baby Guinness","Beverages","Mullingar","Shots","1",0,1.17,1.16,-0.01,76.0%,76.2%,-0.2%,6.00,6.05,-0.05,3.71,3.72,-0.01,
"Tea Cup","Beverages","Mullingar","Hot Beverages","1",0,0.19,0.20,0.01,89.8%,89.3%,0.5%,2.30,2.18,0.12,1.68,1.67,0.01,
"Americano Coffee","Beverages","Mullingar","Hot Beverages","1",0,0.31,0.31,0.00,88.1%,88.2%,-0.1%,3.20,3.22,-0.02,2.29,2.29,0.00,
"Latte Coffee","Beverages","Mullingar","Hot Beverages","1",0,0.48,0.49,0.01,84.0%,83.6%,0.5%,3.70,3.59,0.11,2.53,2.51,0.01,
"Cappuccino Coffee","Beverages","Mullingar","Hot Beverages","1",0,0.52,0.54,0.02,82.7%,82.2%,0.5%,3.70,3.59,0.11,2.49,2.47,0.02,
"Espresso Coffee","Beverages","Mullingar","Hot Beverages","1",0,0.40,0.40,0.00,81.1%,80.9%,0.1%,2.60,2.58,0.02,1.71,1.71,0.00,
"Tea Pot","Beverages","Mullingar","Hot Beverages","1",0,0.39,0.41,0.02,79.1%,78.0%,1.2%,2.30,2.18,0.12,1.48,1.46,0.02,
"Americano Coffee - Takeaway","Beverages","Mullingar","Hot Beverages","1",0,0.49,0.49,0.00,78.5%,78.4%,0.0%,2.80,2.80,0.00,1.79,1.79,0.00,
"Cappuccino Coffee - Takeaway","Beverages","Mullingar","Hot Beverages","1",0,0.70,0.72,0.02,70.3%,69.5%,0.8%,2.90,2.82,0.08,1.66,1.64,0.02,
"Espresso Coffee - Takeaway","Beverages","Mullingar","Hot Beverages","1",0,0.59,0.59,0.00,72.1%,72.3%,-0.2%,2.60,2.62,-0.02,1.52,1.53,0.00,
"Latte Coffee - Takeaway","Beverages","Mullingar","Hot Beverages","1",0,0.66,0.68,0.02,72.0%,71.3%,0.7%,2.90,2.83,0.07,1.70,1.68,0.02,
"Tea - Takeaway","Beverages","Mullingar","Hot Beverages","1",0,0.37,0.38,0.01,80.2%,79.6%,0.6%,2.30,2.23,0.07,1.50,1.49,0.01,
"Hot Chocolate","Beverages","Mullingar","Hot Beverages","1",0,0.56,0.57,0.01,75.4%,74.8%,0.6%,2.80,2.73,0.07,1.72,1.70,0.01,
"Hot Chocolate - Takeaway","Beverages","Mullingar","Hot Beverages","1",0,0.74,0.76,0.02,67.5%,66.8%,0.7%,2.80,2.74,0.06,1.54,1.52,0.02,
"Hot Irish Whiskey","Beverages","Mullingar","Liqueurs Coffee","1",0,1.49,1.47,-0.02,69.5%,69.9%,-0.4%,6.00,6.09,-0.09,3.39,3.41,-0.02,
"Irish Coffee","Beverages","Mullingar","Liqueurs Coffee","1",0,1.67,1.65,-0.02,70.2%,70.5%,-0.3%,6.90,6.96,-0.06,3.94,3.95,-0.02,
"Baileys Coffee","Beverages","Mullingar","Liqueurs Coffee","1",0,1.15,1.12,-0.03,79.5%,80.0%,-0.5%,6.90,7.07,-0.17,4.46,4.49,-0.03,
"Hot Port","Beverages","Mullingar","Liqueurs Coffee","1",0,0.95,0.91,-0.04,80.5%,81.3%,-0.8%,6.00,6.25,-0.25,3.93,3.97,-0.04,
"BT Sprite Zero 200ml","Beverages","Head Office Beverages","Minerals & Splits","1",0,0.49,0.49,0.00,79.9%,80.0%,0.0%,3.00,3.01,-0.01,1.95,1.95,0.00,
"BT Coca Cola 200ml","Beverages","Head Office Beverages","Minerals & Splits","1",0,0.60,0.60,0.00,75.4%,75.4%,0.0%,3.00,3.00,0.00,1.84,1.84,0.00,
"BT Diet Coke 200ml","Beverages","Head Office Beverages","Minerals & Splits","1",0,0.56,0.56,0.00,77.0%,77.1%,-0.1%,3.00,3.01,-0.01,1.88,1.88,0.00,
"BT Fanta Orange 200ml","Beverages","Head Office Beverages","Minerals & Splits","1",0,0.49,0.49,0.00,79.9%,80.0%,-0.1%,3.00,3.01,-0.01,1.95,1.95,0.00,
"BT Fanta Lemon 200ml","Beverages","Head Office Beverages","Minerals & Splits","1",0,0.49,0.49,0.00,79.9%,80.0%,-0.1%,3.00,3.01,-0.01,1.95,1.95,0.00,
"BT Coke Zero 200ml","Beverages","Head Office Beverages","Minerals & Splits","1",0,0.56,0.56,0.00,77.0%,77.1%,-0.1%,3.00,3.01,-0.01,1.88,1.88,0.00,
"BT Cidona 440ml","Beverages","Head Office Beverages","Minerals & Splits","1",0,0.87,0.87,0.00,69.4%,69.5%,-0.1%,3.50,3.51,-0.01,1.98,1.98,0.00,
